,puntuacion usuarios,marca
8322,8.1,SONY
7929,8.1,SONY
3129,8.1,SONY
14120,8.1,SONY
12379,8.1,SONY
12462,8.1,SONY
12458,8.1,SONY
1536,8.1,SONY
12450,8.1,SONY
15595,8.1,SONY
12443,8.1,SONY
15598,8.1,SONY
14746,8.1,SONY
12439,8.1,SONY
12432,8.1,SONY
1697,8.1,SONY
12388,8.1,SONY
14568,8.1,SONY
15853,8.1,SONY
15694,8.1,SONY
14521,8.1,SONY
885,8.1,SONY
12286,8.1,SONY
867,8.1,SONY
14505,8.1,SONY
15699,8.1,SONY
14504,8.1,SONY
15782,8.1,SONY
15783,8.1,SONY
15788,8.1,SONY
14365,8.1,SONY
14898,8.1,SONY
14913,8.1,SONY
3044,8.1,SONY
15553,8.1,SONY
12896,8.1,SONY
12923,8.1,SONY
15272,8.1,SONY
15306,8.1,SONY
15308,8.1,SONY
15309,8.1,SONY
1239,8.1,SONY
15316,8.1,SONY
12987,8.1,SONY
15327,8.1,SONY
15328,8.1,SONY
15174,8.1,SONY
15156,8.1,SONY
13054,8.1,SONY
1142,8.1,SONY
1133,8.1,SONY
15470,8.1,SONY
15104,8.1,SONY
2884,8.1,SONY
2721,8.1,SONY
2709,8.1,SONY
15056,8.1,SONY
13129,8.1,SONY
15535,8.1,SONY
13152,8.1,SONY
15817,8.1,SONY
12894,8.1,SONY
13990,8.1,SONY
16463,8.1,SONY
14062,8.1,SONY
13839,8.1,SONY
14051,8.1,SONY
16035,8.1,SONY
13915,8.1,SONY
13810,8.1,SONY
14112,8.1,SONY
13992,8.1,SONY
11931,8.1,SONY
13830,8.1,SONY
14136,8.1,SONY
16331,8.1,SONY
13843,8.1,SONY
2230,8.1,SONY
11865,8.1,SONY
11766,8.1,SONY
16157,8.1,SONY
3449,8.1,SONY
16188,8.1,SONY
13845,8.1,SONY
16293,8.1,SONY
14188,8.1,SONY
13891,8.1,SONY
16551,8.1,SONY
16524,8.1,SONY
2460,8.1,SONY
16317,8.1,SONY
10532,8.0,SONY
8359,8.0,SONY
13817,8.0,SONY
15071,8.0,SONY
10531,8.0,SONY
14214,8.0,SONY
9912,8.0,SONY
13811,8.0,SONY
15093,8.0,SONY
15005,8.0,SONY
15000,8.0,SONY
13892,8.0,SONY
8425,8.0,SONY
8464,8.0,SONY
10462,8.0,SONY
8502,8.0,SONY
8325,8.0,SONY
8227,8.0,SONY
13877,8.0,SONY
15214,8.0,SONY
13848,8.0,SONY
2765,8.0,SONY
8051,8.0,SONY
13844,8.0,SONY
5368,8.0,SONY
2761,8.0,SONY
4507,8.0,SONY
8071,8.0,SONY
2743,8.0,SONY
15232,8.0,SONY
10660,8.0,SONY
10562,8.0,SONY
4057,8.0,SONY
8156,8.0,SONY
