id,nombre,plataforma,marca,puntuacion usuarios
16571,Age of Empires II: The Conquerors Expansion,PC,PC,9.1
16149,Star Fox 64,Nintendo64,NINTENDO,8.8
11499,Dark Age of Camelot,PC,PC,7.8
16151,Dead Space,PlayStation3,SONY,8.8
16168,Fight Night Round 2,PlayStation2,SONY,8.8
16018,Ori and the Blind Forest,PC,PC,8.7
16374,NieR: Automata,PlayStation4,SONY,8.9
16600,Warcraft III: The Frozen Throne,PC,PC,9.2
16146,Rise of Nations: Thrones & Patriots,PC,PC,8.8
6941,Guacamelee! Super Turbo Championship Edition,XboxOne,MICROSOFT,7.0
16173,Baldur's Gate II: Throne of Bhaal,PC,PC,8.8
15837,Zero Escape: Virtue's Last Reward,3DS,NINTENDO,8.7
16521,Sly 2: Band of Thieves,PlayStation2,SONY,9.0
16364,Counter-Strike: Source,PC,PC,8.9
16154,Mario Kart 8,WiiU,NINTENDO,8.8
11825,What Remains of Edith Finch,Switch,NINTENDO,7.8
16165,Oddworld: Abe's Exoddus,PlayStation,SONY,8.8
16570,Mafia,PC,PC,9.1
2916,Hearthstone: Heroes of Warcraft,PC,PC,5.9
7452,Battlefield 1,PC,PC,7.1
16174,Crimson Skies: High Road to Revenge,Xbox,MICROSOFT,8.8
15961,Shadow Complex,Xbox360,MICROSOFT,8.7
16572,Starcraft,PC,PC,9.1
16574,Fire Emblem,GameBoyAdvance,NINTENDO,9.1
15773,Return to Castle Wolfenstein,PC,PC,8.7
16139,Oddworld: Stranger's Wrath,Xbox,MICROSOFT,8.8
16155,NCAA Football 2005,PlayStation2,SONY,8.8
9139,The Banner Saga 3,XboxOne,MICROSOFT,7.4
12424,Sekiro: Shadows Die Twice,PC,PC,7.9
13452,BioShock 2,PC,PC,8.1
13430,Fire Emblem Fates: Special Edition,3DS,NINTENDO,8.1
10445,Fight Night Round 4,PlayStation3,SONY,7.6
5476,Owlboy,PlayStation4,SONY,6.7
13413,Ridge Racer,PSP,SONY,8.1
13143,Nex Machina: Death Machine,PlayStation4,SONY,8.1
7631,NBA 2K13,Xbox360,MICROSOFT,7.2
8604,World of Warcraft: Legion,PC,PC,7.3
10119,Divinity: Original Sin Enhanced Edition,XboxOne,MICROSOFT,7.6
13245,Doom 3,Xbox,MICROSOFT,8.1
13600,The Talos Principle: Deluxe Edition,PlayStation4,SONY,8.1
14765,The Witcher 2: Assassins of Kings,Xbox360,MICROSOFT,8.4
10616,Joe Danger: Special Edition,Xbox360,MICROSOFT,7.7
15115,TimeSplitters 2,GameCube,NINTENDO,8.5
10457,Diablo III: Eternal Collection,Switch,NINTENDO,7.6
15179,LittleBigPlanet PS Vita,PlayStationVita,SONY,8.5
11396,Pinball FX 2: Marvel Pinball - Avengers Chronicles,Xbox360,MICROSOFT,7.8
15102,Torchlight II,PC,PC,8.5
10522,Microsoft Flight Simulator 2004: A Century of Flight,PC,PC,7.6
12355,NCAA Football 2004,Xbox,MICROSOFT,7.9
15171,Battlefield: Bad Company 2,PlayStation3,SONY,8.5
14750,Medal of Honor Frontline,PlayStation2,SONY,8.4
8517,Downwell,Switch,NINTENDO,7.3
7650,NHL 11,PlayStation3,SONY,7.2
14744,Tiger Woods PGA Tour 2003,PlayStation2,SONY,8.4
14796,Rayman Origins,PlayStationVita,SONY,8.4
13694,Assassin's Creed IV: Black Flag,PlayStation3,SONY,8.2
4658,Fallout 4,XboxOne,MICROSOFT,6.5
13766,Tiger Woods PGA Tour 2005,PlayStation2,SONY,8.2
13063,Battlefield: Bad Company 2 Vietnam,Xbox360,MICROSOFT,8.0
15728,Tekken 5,PlayStation2,SONY,8.6
5991,Pistol Whip,PlayStation4,SONY,6.8
13713,Asgard's Wrath,PC,PC,8.2
9553,Pokemon Y,3DS,NINTENDO,7.5
13959,The Beatles: Rock Band,PlayStation3,SONY,8.2
14805,DOOM Eternal,XboxOne,MICROSOFT,8.4
10065,DJ Hero 2,Wii,NINTENDO,7.6
2207,N++,XboxOne,MICROSOFT,5.5
12403,NBA Street V3,GameCube,NINTENDO,7.9
13384,NHL 10,PlayStation3,SONY,8.1
15220,Deus Ex: Human Revolution - Director's Cut,WiiU,NINTENDO,8.5
9465,ESPN NHL Hockey,Xbox,MICROSOFT,7.5
3720,NBA 2K17,PlayStation4,SONY,6.2
12431,Dishonored,Xbox360,MICROSOFT,7.9
13258,LIMBO,PC,PC,8.1
13152,Halo: The Master Chief Collection - Halo 3,PC,PC,8.1
8466,NHL 2001,PlayStation,SONY,7.3
10764,DOOM Eternal,PC,PC,7.7
13160,Ori and the Blind Forest: Definitive Edition,XboxOne,MICROSOFT,8.1
15010,The Witcher 2: Assassins of Kings,PC,PC,8.5
8562,Tony Hawk's Pro Skater 1 + 2,PC,PC,7.3
